pitch,Onset (ms),velocity,instrument,Measure
43,1130.4378275228123,0.4409448818897638,,1
50,1444.984312783584,0.4251968503937008,,1
59,2450.097691468391,0.4803149606299212,,1
57,2667.977510062495,0.4881889763779528,,1
59,2905.154380810795,0.5118110236220472,,1
50,3161.2144715137424,0.3858267716535433,,1
59,3429.5648116497964,0.4566929133858268,,1
50,3564.8539272960556,0.3779527559055118,,1
43,3887.399278769978,0.4015748031496063,,1
50,3982.019460175874,0.3779527559055118,,1
59,4398.54440348653,0.4645669291338583,,1
57,4604.3323853459415,0.4881889763779528,,1
59,4852.592022534151,0.5196850393700787,,1
50,4924.496784438912,0.3858267716535433,,1
59,5325.891342262042,0.4724409448818897,,1
50,5388.391342262042,0.3858267716535433,,1
43,5843.99791822576,0.4173228346456692,,2
52,6047.450299178142,0.3858267716535433,,2
60,6713.669120039819,0.4724409448818897,,2
59,6845.828983985397,0.4960629921259842,,2
60,6908.328983985397,0.5275590551181102,,2
52,6970.828983985397,0.4094488188976378,,2
60,7218.601092828933,0.4960629921259842,,2
52,7397.688394416236,0.3858267716535433,,2
43,7622.728076955919,0.4015748031496063,,2
52,7887.597691468391,0.3858267716535433,,2
60,8591.66231731873,0.4566929133858268,,2
59,8855.126036139593,0.4881889763779528,,2
60,8917.626036139593,0.5275590551181102,,2
52,8983.011523667938,0.4015748031496063,,2
60,9183.793836593108,0.4881889763779528,,2
52,9290.885673327803,0.3858267716535433,,2
43,9529.712203940046,0.4094488188976378,,3
54,9764.184993055693,0.3858267716535433,,3
60,10536.809709608982,0.4566929133858268,,3
59,10609.00358716,0.4803149606299212,,3
60,10671.50358716,0.5118110236220472,,3
54,10734.00358716,0.4173228346456692,,3
60,11091.35619486975,0.4881889763779528,,3
54,11185.029664257507,0.3937007874015748,,3
43,11545.177056547756,0.3937007874015748,,3
54,11680.602226615783,0.3858267716535433,,3
60,12372.72807695592,0.4488188976377952,,3
59,12455.760956774513,0.4724409448818897,,3
60,12518.260956774513,0.5039370078740157,,3
54,12580.760956774513,0.4094488188976378,,3
60,12953.306308248437,0.4803149606299212,,3
54,13077.280231150928,0.3937007874015748,,3
43,13285.267759495602,0.4173228346456692,,4
55,13388.039868339138,0.3858267716535433,,4
59,13510.811977182677,0.4330708661417323,,4
57,14023.878870606712,0.4251968503937008,,4
59,14279.6215009922,0.4881889763779528,,4
55,14590.058008928709,0.4094488188976378,,4
59,14691.152113237098,0.4724409448818897,,4
55,15075.800639314191,0.3937007874015748,,4
43,15265.177056547756,0.3937007874015748,,4
55,15327.677056547756,0.3858267716535433,,4
59,15445.154380810796,0.4251968503937008,,4
57,15925.641909155465,0.4330708661417323,,4
59,16238.0341994049,0.4803149606299212,,4
55,16501.821047477457,0.4173228346456692,,4
59,16685.075015731425,0.4724409448818897,,4
54,16883.23261210331,0.3937007874015748,,4
43,17243.27229464299,0.4173228346456692,,5
52,17458.022861536414,0.3858267716535433,,5
59,17724.553473781314,0.4094488188976378,,5
57,17949.593156320996,0.4409448818897638,,5
59,18253.453700538685,0.4960629921259842,,5
55,18446.112430697416,0.4330708661417323,,5
54,18717.592022534147,0.3937007874015748,,5
55,18998.096557681536,0.3937007874015748,,5
52,19214.111296910563,0.4015748031496063,,5
55,19405.641909155464,0.3858267716535433,,5
54,19652.512657454783,0.3858267716535433,,5
55,20056.934426162265,0.3858267716535433,,5
47,20183.929891014872,0.3937007874015748,,5
50,20408.969573554557,0.3858267716535433,,5
49,21121.979777636185,0.3858267716535433,,5
47,21272.994516865216,0.3858267716535433,,5
49,21362.728076955915,0.4173228346456692,,6
55,21629.814244756373,0.4094488188976378,,6
57,21882.46730598086,0.4881889763779528,,6
55,22290.794970379953,0.4724409448818897,,6
57,22402.206535005804,0.5039370078740157,,6
55,22564.167986252975,0.4724409448818897,,6
57,22751.163451105574,0.4960629921259842,,6
55,23106.118099631654,0.4803149606299212,,6
49,23302.365265164535,0.3937007874015748,,6
55,23501.163451105578,0.4094488188976378,,6
57,23760.66458489243,0.4803149606299212,,6
55,24257.501319586303,0.4881889763779528,,6
57,24657.308575822135,0.5196850393700787,,6
55,24970.675922760907,0.4881889763779528,,6
57,25072.45596811238,0.4960629921259842,,6
55,25192.189528203082,0.4724409448818897,,6
54,25265.222408021677,0.4488188976377952,,7
57,25542.552339994465,0.4488188976377952,,7
62,25761.741682398093,0.5118110236220472,,7
61,25999.31537854322,0.5196850393700787,,7
62,26077.875469246166,0.5433070866141733,,7
57,26613.697464711022,0.4881889763779528,,7
55,26708.340321853877,0.4015748031496063,,7
57,26954.723541808526,0.4015748031496063,,7
54,27204.859596230293,0.4015748031496063,,7
57,27520.386807114653,0.4015748031496063,,7
55,27654.938961309657,0.3858267716535433,,7
57,27981.333519132786,0.4015748031496063,,7
50,28151.458235686077,0.3937007874015748,,7
54,28410.313110969524,0.3858267716535433,,7
52,28671.19746471102,0.3858267716535433,,7
50,28733.69746471102,0.3779527559055118,,7
40,29608.170253826658,0.4173228346456692,,8
47,29931.991115504672,0.3858267716535433,,8
55,30012.535333191743,0.3858267716535433,,8
54,30237.575015731425,0.3858267716535433,,8
55,30714.065945436636,0.4173228346456692,,8
47,31314.593156320996,0.3858267716535433,,8
55,31377.093156320996,0.3937007874015748,,8
47,31439.593156320996,0.3858267716535433,,8
40,31538.782498724624,0.4015748031496063,,8
47,31796.79270280626,0.3858267716535433,,8
55,31949.746217545482,0.4015748031496063,,8
54,32130.772294642993,0.4566929133858268,,8
55,32850.64190915546,0.4960629921259842,,8
47,32952.37093409878,0.3937007874015748,,8
55,33014.87093409877,0.4566929133858268,,8
47,33077.37093409878,0.3858267716535433,,8
40,33409.16798625297,0.4173228346456692,,9
49,33573.8902084752,0.3858267716535433,,9
50,33822.1498456634,0.3937007874015748,,9
52,33977.94349645705,0.4094488188976378,,9
50,34227.943496457054,0.4173228346456692,,9
49,34892.008122307394,0.3858267716535433,,9
47,34954.508122307394,0.3858267716535433,,9
45,35017.008122307394,0.3858267716535433,,9
55,35246.174788974065,0.4803149606299212,,9
54,35490.307442035286,0.4960629921259842,,9
52,35738.56707922349,0.4724409448818897,,9
62,35829.74054861125,0.5275590551181102,,9
61,36235.08635359991,0.5511811023622047,,9
59,36460.12603613959,0.5354330708661418,,9
57,36638.725809382224,0.5275590551181102,,9
55,36863.765491921906,0.4881889763779528,,9
54,37150.66458489242,0.4881889763779528,,10
52,37406.724675595375,0.3937007874015748,,10
50,37631.76435813506,0.3858267716535433,,10
62,37694.26435813506,0.5118110236220472,,10
57,38476.58295223936,0.5275590551181102,,10
62,38539.08295223937,0.5354330708661418,,10
54,38986.605627976336,0.4881889763779528,,10
57,39105.26209056135,0.4724409448818897,,10
50,39167.76209056135,0.3937007874015748,,10
52,39444.40608149106,0.3858267716535433,,10
54,39664.281364937786,0.3858267716535433,,10
57,39889.32104747746,0.3937007874015748,,10
55,40131.707668792646,0.4015748031496063,,10
54,40354.6215009922,0.3858267716535433,,10
52,40587.660049745034,0.3858267716535433,,10
50,40655.56821301034,0.3858267716535433,,10
56,41153.83918806703,0.4251968503937008,,11
50,41308.17025382666,0.3858267716535433,,11
53,42161.19746471101,0.3858267716535433,,11
52,42223.69746471101,0.3858267716535433,,11
53,42286.19746471101,0.4015748031496063,,11
50,42348.69746471101,0.3779527559055118,,11
56,42620.17705654775,0.4094488188976378,,11
