pitch,Onset (ms),velocity,instrument,Measure
43,904.9502991781412,0.4409448818897638,,1
50,937.5183263890256,0.4251968503937008,,1
59,1000.0183263890256,0.4803149606299212,,1
57,1060.3301177722456,0.4881889763779528,,1
59,1081.1634511055788,0.5118110236220472,,1
50,1141.0784170919733,0.3858267716535433,,1
59,1203.5784170919733,0.4566929133858268,,1
50,1266.0784170919733,0.3779527559055118,,1
43,1365.7212742348304,0.4015748031496063,,1
50,1437.5183263890256,0.3779527559055118,,1
59,1684.9843127835836,0.4645669291338583,,1
57,1864.3777368198644,0.4881889763779528,,1
59,2042.977510062495,0.5196850393700787,,1
50,2225.6078955500234,0.3858267716535433,,1
59,2417.58068466567,0.4724409448818897,,1
50,2506.384539540953,0.3858267716535433,,1
43,2802.1838592688437,0.4173228346456692,,2
52,3005.6362402212253,0.3858267716535433,,2
60,3091.3561948697516,0.4724409448818897,,2
59,3274.780231150931,0.4960629921259842,,2
60,3399.780231150931,0.5275590551181102,,2
52,3664.099959042087,0.4094488188976378,,2
60,3782.5353331917468,0.4960629921259842,,2
52,3981.378870606712,0.3858267716535433,,2
43,4131.979777636191,0.4015748031496063,,2
52,4318.334652919638,0.3858267716535433,,2
60,4474.859596230296,0.4566929133858268,,2
59,4675.534199404899,0.4881889763779528,,2
60,4807.694063350476,0.5275590551181102,,2
52,5038.504720946849,0.4015748031496063,,2
60,5141.673655187212,0.4881889763779528,,2
52,5401.719006661135,0.3858267716535433,,2
43,5526.719006661135,0.4094488188976378,,3
54,5723.9128842121545,0.3858267716535433,,3
60,5879.2927028062595,0.4566929133858268,,3
59,6064.258689200818,0.4803149606299212,,3
60,6213.272294642994,0.5118110236220472,,3
54,6438.311977182677,0.4173228346456692,,3
60,6570.471841128255,0.4881889763779528,,3
54,6774.184993055693,0.3937007874015748,,3
43,6938.4650384071665,0.3937007874015748,,3
54,7089.372067885624,0.3858267716535433,,3
60,7264.3380542801815,0.4488188976377952,,3
59,7482.2178728742865,0.4724409448818897,,3
60,7572.365265164535,0.5039370078740157,,3
54,7825.097691468391,0.4094488188976378,,3
60,7950.097691468391,0.4803149606299212,,3
54,8191.19746471102,0.3937007874015748,,3
43,8339.417419359548,0.4173228346456692,,4
55,8556.305174461588,0.3858267716535433,,4
59,8682.297237953651,0.4330708661417323,,4
57,8822.60902933687,0.4251968503937008,,4
59,9001.95710189923,0.4881889763779528,,4
55,9173.397011196283,0.4094488188976378,,4
59,9368.05687514186,0.4724409448818897,,4
55,9513.788167658866,0.3937007874015748,,4
43,9622.72807695592,0.3937007874015748,,4
55,9685.22807695592,0.3858267716535433,,4
59,10089.723541808527,0.4251968503937008,,4
57,10228.187260629387,0.4330708661417323,,4
59,10406.78703387202,0.4803149606299212,,4
55,10544.9162855727,0.4173228346456692,,4
59,10756.84372321442,0.4724409448818897,,4
54,10942.58635359991,0.3937007874015748,,4
43,11113.385673327803,0.4173228346456692,,5
52,11299.785900085171,0.3858267716535433,,5
59,11428.725809382222,0.4094488188976378,,5
57,11610.54553727338,0.4409448818897638,,5
59,11814.655514597644,0.4960629921259842,,5
55,11962.87546924617,0.4330708661417323,,5
54,12180.755287840277,0.3937007874015748,,5
55,12328.9752424888,0.3937007874015748,,5
52,12526.764358135059,0.4015748031496063,,5
55,12682.144176729162,0.3858267716535433,,5
54,12866.514925028485,0.3858267716535433,,5
55,13016.123768565898,0.3858267716535433,,5
47,13217.943496457054,0.3937007874015748,,5
50,13380.83465291964,0.3858267716535433,,5
49,13576.900412556828,0.3858267716535433,,5
47,13753.742816184942,0.3858267716535433,,5
49,13964.814244756371,0.4173228346456692,,6
55,14068.686126842542,0.4094488188976378,,6
57,14261.254154053424,0.4881889763779528,,6
55,14421.701999858413,0.4724409448818897,,6
57,14604.133972647529,0.5039370078740157,,6
55,14745.698598497873,0.4724409448818897,,6
57,14957.501319586305,0.4960629921259842,,6
55,15112.88113818041,0.4803149606299212,,6
49,15326.80970960898,0.3937007874015748,,6
55,15470.080684665669,0.4094488188976378,,6
57,15648.680457908298,0.4803149606299212,,6
55,15804.213337726896,0.4881889763779528,,6
57,15998.873201672472,0.5196850393700787,,6
55,16161.259822987668,0.4881889763779528,,6
57,16341.753020266577,0.4960629921259842,,6
55,16497.393609835737,0.4724409448818897,,6
54,16707.852793509206,0.4488188976377952,,7
57,16879.29270280626,0.4488188976377952,,7
62,17054.258689200815,0.5118110236220472,,7
61,17232.858462443448,0.5196850393700787,,7
