pitch,Onset (ms),velocity,instrument,Measure
43,902.8868071146492,0.4409448818897638,,1
50,918.5118071146492,0.4251968503937008,,1
59,976.7983717404995,0.4803149606299212,,1
57,1039.2983717404995,0.4881889763779528,,1
59,1101.7983717404995,0.5118110236220472,,1
50,1164.2983717404995,0.3858267716535433,,1
59,1212.6770565477557,0.4566929133858268,,1
50,1266.0784170919733,0.3779527559055118,,1
43,1342.5013195863044,0.4015748031496063,,1
50,1451.0444034865316,0.3779527559055118,,1
59,1661.3675327382318,0.4645669291338583,,1
57,1864.3777368198644,0.4881889763779528,,1
59,2042.977510062495,0.5196850393700787,,1
50,2224.264358135057,0.3858267716535433,,1
59,2376.95710189923,0.4724409448818897,,1
50,2578.7768297903863,0.3858267716535433,,1
43,2729.4400950965087,0.4173228346456692,,2
52,2912.7564216271207,0.3858267716535433,,2
60,3068.1362402212258,0.4724409448818897,,2
59,3251.5602765024046,0.4960629921259842,,2
60,3425.335786706486,0.5275590551181102,,2
52,3627.1555145976427,0.4094488188976378,,2
60,3782.5353331917468,0.4960629921259842,,2
52,3958.7541540534244,0.3858267716535433,,2
43,4139.7348796770075,0.4015748031496063,,2
52,4303.4196869332445,0.3858267716535433,,2
60,4474.859596230296,0.4566929133858268,,2
59,4652.314244756372,0.4881889763779528,,2
60,4807.694063350476,0.5275590551181102,,2
52,5012.399278769978,0.4015748031496063,,2
60,5164.893609835738,0.4881889763779528,,2
52,5366.713337726896,0.3858267716535433,,2
43,5526.719006661135,0.4094488188976378,,3
54,5713.776829790385,0.3858267716535433,,3
60,5856.072748157733,0.4566929133858268,,3
59,6041.038734552291,0.4803149606299212,,3
60,6210.0976914683915,0.5118110236220472,,3
54,6438.311977182677,0.4173228346456692,,3
60,6517.025129110113,0.4881889763779528,,3
54,6773.238281037553,0.3937007874015748,,3
43,6898.238281037552,0.3937007874015748,,3
54,7106.271160856146,0.3858267716535433,,3
60,7220.585219813062,0.4488188976377952,,3
59,7440.25075269288,0.4724409448818897,,3
60,7618.850525935511,0.5039370078740157,,3
54,7820.670253826667,0.4094488188976378,,3
60,7950.097691468391,0.4803149606299212,,3
54,8177.869800311928,0.3937007874015748,,3
43,8299.145310516009,0.4173228346456692,,4
55,8574.5648116498,0.3858267716535433,,4
59,8659.077283305125,0.4330708661417323,,4
57,8845.828983985397,0.4251968503937008,,4
59,9001.95710189923,0.4881889763779528,,4
55,9203.02853047066,0.4094488188976378,,4
59,9358.408349064764,0.4724409448818897,,4
55,9539.496784438912,0.3937007874015748,,4
43,9669.167986252973,0.3937007874015748,,4
55,9987.08748738676,0.3858267716535433,,4
59,10053.816512330068,0.4251968503937008,,4
57,10228.187260629387,0.4330708661417323,,4
59,10406.78703387202,0.4803149606299212,,4
55,10585.386807114648,0.4173228346456692,,4
59,10738.3856733278,0.4724409448818897,,4
54,10965.806308248437,0.3937007874015748,,4
43,11090.165718679275,0.4173228346456692,,5
52,11277.11583205796,0.3858267716535433,,5
59,11428.725809382222,0.4094488188976378,,5
57,11633.765491921906,0.4409448818897638,,5
59,11793.725809382224,0.4960629921259842,,5
55,11990.965038407167,0.4330708661417323,,5
54,12192.784766298322,0.3937007874015748,,5
55,12305.755287840273,0.3937007874015748,,5
52,12497.285900085171,0.4015748031496063,,5
55,12695.07501573143,0.3858267716535433,,5
54,12889.734879677007,0.3858267716535433,,5
55,12992.90381391737,0.3858267716535433,,5
47,13194.723541808527,0.3937007874015748,,5
50,13396.543269699685,0.3858267716535433,,5
49,13552.626036139594,0.3858267716535433,,5
47,13707.302906887891,0.3858267716535433,,5
49,13890.437827522812,0.4173228346456692,,6
55,14068.686126842542,0.4094488188976378,,6
57,14238.0341994049,0.4881889763779528,,6
55,14432.694063350476,0.4724409448818897,,6
57,14580.914017999004,0.5039370078740157,,6
55,14778.901546343672,0.4724409448818897,,6
57,14947.013791241632,0.4960629921259842,,6
55,15118.453700538686,0.4803149606299212,,6
49,15308.35165972236,0.3937007874015748,,6
55,15446.860730017144,0.4094488188976378,,6
57,15625.460503259774,0.4803149606299212,,6
55,15827.586353599909,0.4881889763779528,,6
57,15982.660049745034,0.5196850393700787,,6
55,16184.479777636192,0.4881889763779528,,6
57,16343.64644430286,0.4960629921259842,,6
55,16536.412884212154,0.4724409448818897,,6
54,16720.279097364084,0.4488188976377952,,7
57,16832.852793509202,0.4488188976377952,,7
62,17043.680457908296,0.5118110236220472,,7
61,17209.63850779492,0.5196850393700787,,7
62,17388.23828103755,0.5433070866141733,,7
57,17536.4752424888,0.4881889763779528,,7
55,17759.712203940042,0.4015748031496063,,7
57,17900.817646116913,0.4015748031496063,,7
54,18102.455968112383,0.4015748031496063,,7
57,18204.372067885623,0.4015748031496063,,7
55,18445.471841128256,0.3858267716535433,,7
57,18595.386807114646,0.4015748031496063,,7
50,18834.79156901941,0.3937007874015748,,7
54,18972.416285572697,0.3858267716535433,,7
52,19088.226943169066,0.3858267716535433,,7
50,19329.61583205796,0.3779527559055118,,7
40,19463.226943169066,0.4173228346456692,,8
47,19637.858462443444,0.3858267716535433,,8
55,19818.9752424888,0.3858267716535433,,8
54,20020.794970379953,0.3858267716535433,,8
55,20159.870934098773,0.4173228346456692,,8
47,20330.82331505116,0.3858267716535433,,8
55,20510.1543808108,0.3937007874015748,,8
47,20706.06707922349,0.3858267716535433,,8
40,20848.623768565893,0.4015748031496063,,8
47,21052.183859268844,0.3858267716535433,,8
55,21224.553473781314,0.4015748031496063,,8
54,21406.390208475194,0.4566929133858268,,8
55,21546.764358135053,0.4960629921259842,,8
47,21772.489981717823,0.3937007874015748,,8
55,21920.709936366347,0.4566929133858268,,8
47,22094.33238534594,0.3858267716535433,,8
40,22277.467305980863,0.4173228346456692,,9
49,22464.96730598086,0.3858267716535433,,9
50,22606.911750425304,0.3937007874015748,,9
52,22785.511523667934,0.4094488188976378,,9
50,22987.331251559095,0.4173228346456692,,9
49,23144.00925609424,0.3858267716535433,,9
47,23298.0908887473,0.3858267716535433,,9
45,23476.690661989935,0.3858267716535433,,9
55,23661.367532738226,0.4803149606299212,,9
54,23857.110163123714,0.4960629921259842,,9
52,23989.927623441177,0.4724409448818897,,9
62,24195.86866652508,0.5275590551181102,,9
61,24341.70766879265,0.5511811023622047,,9
59,24548.28930144571,0.5354330708661418,,9
57,24703.669120039813,0.5275590551181102,,9
55,24879.706535005804,0.4881889763779528,,9
54,25084.088621173603,0.4881889763779528,,10
52,25209.54780484707,0.3937007874015748,,10
50,25421.367532738233,0.3858267716535433,,10
62,25643.107895550023,0.5118110236220472,,10
57,25752.04780484707,0.5275590551181102,,10
62,25936.327850198548,0.5354330708661418,,10
54,26104.92762344118,0.4881889763779528,,10
57,26276.367532738233,0.4724409448818897,,10
50,26489.66685246612,0.3937007874015748,,10
52,26621.826716411702,0.3858267716535433,,10
54,26846.866398951384,0.3858267716535433,,10
57,26962.12716992644,0.3937007874015748,,10
55,27153.43102480172,0.4015748031496063,,10
54,27359.445764030745,0.3858267716535433,,10
52,27476.446897817594,0.3858267716535433,,10
50,27695.228076955915,0.3858267716535433,,10
56,27819.3267164117,0.4251968503937008,,11
50,28050.62490235274,0.3858267716535433,,11
53,28206.004720946854,0.3858267716535433,,11
52,28366.531931831203,0.3858267716535433,,11
53,28563.204267432106,0.4015748031496063,,11
50,28746.186126842535,0.3779527559055118,,11
56,28873.963904620316,0.4094488188976378,,11
50,29099.00358716,0.3858267716535433,,11
59,29207.943496457054,0.5118110236220472,,11
50,29425.721274234824,0.3937007874015748,,11
53,29588.362997590837,0.3937007874015748,,11
52,29774.825582624853,0.3858267716535433,,11
53,29947.671387613515,0.4015748031496063,,11
50,30147.382271967253,0.3858267716535433,,11
56,30279.542135912834,0.4566929133858268,,11
50,30504.581818452516,0.3937007874015748,,11
48,30622.592022534143,0.4173228346456692,,12
52,30815.341455640726,0.3858267716535433,,12
57,30974.904947704217,0.4881889763779528,,12
59,31149.32104747746,0.5275590551181102,,12
60,31351.140775368614,0.5433070866141733,,12
57,31529.74054861125,0.5196850393700787,,12
52,31680.17705654776,0.4330708661417323,,12
50,31901.764358135053,0.3858267716535433,,12
48,32011.208802579502,0.3937007874015748,,12
52,32198.204267432106,0.3779527559055118,,12
57,32392.86413137769,0.4724409448818897,,12
59,32554.89927876998,0.5196850393700787,,12
60,32735.74394997179,0.5433070866141733,,12
57,32912.09882525524,0.5118110236220472,,12
54,33113.918553146395,0.4645669291338583,,12
52,33211.594290107845,0.3858267716535433,,12
51,33435.199732284724,0.4173228346456692,,13
54,33639.3834057541,0.3858267716535433,,13
51,33810.82331505116,0.3858267716535433,,13
54,33956.17478897406,0.3779527559055118,,13
57,34084.04326969968,0.4488188976377952,,13
54,34348.36299759084,0.4330708661417323,,13
57,34450.14304294231,0.4803149606299212,,13
54,34691.242816184946,0.4566929133858268,,13
51,34853.47637627565,0.4015748031496063,,13
54,35012.94916539129,0.3937007874015748,,13
51,35182.34258942757,0.3858267716535433,,13
54,35366.05574135501,0.3858267716535433,,13
57,35478.78249872463,0.4488188976377952,,13
54,35713.136240221225,0.4251968503937008,,13
57,35834.34939214866,0.4803149606299212,,13
54,36080.45483432554,0.4566929133858268,,13
55,36209.349392148666,0.4803149606299212,,14
54,36428.861863803984,0.4251968503937008,,14
52,36553.861863803984,0.3858267716535433,,14
55,36748.62943750013,0.4094488188976378,,14
54,36950.23374589016,0.4094488188976378,,14
55,37091.40154634367,0.4173228346456692,,14
57,37264.68952820308,0.4724409448818897,,14
54,37486.03306561805,0.4330708661417323,,14
55,37605.72127423483,0.4566929133858268,,14
54,37827.18952820308,0.4173228346456692,,14
52,37952.17252140037,0.3858267716535433,,14
50,38153.99224929152,0.3858267716535433,,14
48,38261.02739668381,0.4015748031496063,,14
47,38487.971841128245,0.3858267716535433,,14
45,38657.58068466566,0.3858267716535433,,14
43,38859.30970960898,0.3858267716535433,,14
42,39000.55120620762,0.4173228346456692,,15
48,39225.5908887473,0.3858267716535433,,15
50,39389.78023115094,0.3858267716535433,,15
48,39538.00018579946,0.3858267716535433,,15
50,39692.90948285162,0.4015748031496063,,15
48,39870.33011777223,0.3779527559055118,,15
50,40052.31991369061,0.3858267716535433,,15
48,40196.770027069295,0.3937007874015748,,15
42,40406.12943750013,0.4015748031496063,,15
48,40613.07955087882,0.3858267716535433,,15
50,40759.27002706929,0.4094488188976378,,15
48,40895.98204520989,0.4173228346456692,,15
50,41104.179324121455,0.4724409448818897,,15
48,41252.68839441623,0.4409448818897638,,15
50,41440.483178996736,0.4645669291338583,,15
48,41618.499052012616,0.4330708661417323,,15
43,41702.8641313777,0.4251968503937008,,16
47,41984.59882525524,0.3937007874015748,,16
53,42168.90721527791,0.4724409448818897,,16
52,42327.47864384935,0.4881889763779528,,16
53,42502.88680711466,0.5196850393700787,,16
47,42704.706535005804,0.4251968503937008,,16
53,42860.08635359991,0.4803149606299212,,16
47,43027.54667106023,0.4015748031496063,,16
43,43194.06594543665,0.4015748031496063,,16
47,43379.33805428018,0.3858267716535433,,16
53,43527.5580089287,0.4566929133858268,,16
52,43745.437827522815,0.4803149606299212,,16
53,43908.465038407165,0.5039370078740157,,16
47,44089.570480584036,0.4015748031496063,,16
53,44230.63057128699,0.4724409448818897,,16
47,44444.26435813506,0.3937007874015748,,16
43,44582.41061663845,0.4173228346456692,,17
48,44778.24394997179,0.3858267716535433,,17
52,44933.62376856589,0.4173228346456692,,17
50,45135.44349645705,0.4173228346456692,,17
52,45281.118099631654,0.4724409448818897,,17
48,45492.64304294231,0.4015748031496063,,17
52,45608.056875141854,0.4566929133858268,,17
48,45845.726943169066,0.3937007874015748,,17
43,45935.5625440761,0.4015748031496063,,17
48,46208.46503840716,0.3858267716535433,,17
52,46317.03646697859,0.4251968503937008,,17
50,46541.021727749576,0.4173228346456692,,17
52,46683.136240221225,0.4803149606299212,,17
48,46880.5908887473,0.4015748031496063,,17
52,47030.381138180404,0.4645669291338583,,17
48,47243.895877409435,0.4015748031496063,,17
43,47326.991115504665,0.4251968503937008,,18
54,47550.43215858858,0.4645669291338583,,18
60,47721.5602765024,0.5275590551181102,,18
59,47900.160049745034,0.5354330708661418,,18
60,48074.338054280175,0.5511811023622047,,18
54,48280.57955087882,0.5118110236220472,,18
60,48382.33125155909,0.5275590551181102,,18
54,48638.635106434376,0.4881889763779528,,18
43,48786.855061082904,0.4015748031496063,,18
54,48971.758689200826,0.4173228346456692,,18
60,49062.67138761351,0.5118110236220472,,18
59,49305.73828103756,0.5196850393700787,,18
60,49484.338054280175,0.5354330708661418,,18
54,49686.15778217134,0.4645669291338583,,18
60,49809.84825836182,0.5039370078740157,,18
54,50043.357328656595,0.4251968503937008,,18
43,50158.37433545932,0.4173228346456692,,19
50,50238.01719260218,0.3937007874015748,,19
59,50509.49678443891,0.3937007874015748,,19
57,50688.09655768154,0.4251968503937008,,19
59,50867.353927296055,0.4881889763779528,,19
55,51062.01379124163,0.4330708661417323,,19
54,51256.673655187216,0.3937007874015748,,19
52,51360.851659722364,0.3858267716535433,,19
50,51599.553473781314,0.4015748031496063,,19
48,51723.92989101487,0.3858267716535433,,19
47,51919.21333772689,0.3779527559055118,,19
45,52067.43329237543,0.3858267716535433,,19
43,52272.274562216684,0.4015748031496063,,19
42,52450.87433545932,0.3779527559055118,,19
40,52601.12943750013,0.3858267716535433,,19
38,52774.309709608984,0.3858267716535433,,19
37,52963.45370053868,0.4094488188976378,,20
45,53142.51265745478,0.3779527559055118,,20
52,53310.369800311935,0.3937007874015748,,20
54,53531.832385345944,0.4251968503937008,,20
55,53635.811977182675,0.4881889763779528,,20
52,53856.45256675184,0.4488188976377952,,20
54,54035.05233999447,0.4724409448818897,,20
55,54171.15211323709,0.4881889763779528,,20
37,54389.0319318312,0.4803149606299212,,20
45,54550.09202253415,0.3858267716535433,,20
52,54679.29270280626,0.4409448818897638,,20
54,54901.872067885626,0.4803149606299212,,20
55,55060.21107015319,0.5196850393700787,,20
52,55246.23147831646,0.4724409448818897,,20
54,55418.71447151374,0.4803149606299212,,20
55,55596.010389881085,0.4881889763779528,,20
36,55811.25415405343,0.4803149606299212,,21
45,55931.99111550467,0.3858267716535433,,21
50,56155.029664257505,0.3779527559055118,,21
52,56287.18952820308,0.3937007874015748,,21
54,56469.530798044354,0.4645669291338583,,21
50,56644.38907468834,0.3937007874015748,,21
52,56799.76889328245,0.4173228346456692,,21
54,57012.552339994465,0.4645669291338583,,21
36,57156.968439767705,0.4330708661417323,,21
45,57303.51038988109,0.3858267716535433,,21
50,57544.61016312372,0.3858267716535433,,21
52,57669.61016312372,0.4094488188976378,,21
54,57871.36753273822,0.4724409448818897,,21
50,58049.96730598086,0.4015748031496063,,21
52,58183.92989101487,0.4251968503937008,,21
54,58401.809709608984,0.4645669291338583,,21
36,58550.0296642575,0.4645669291338583,,22
45,58701.792702806255,0.3937007874015748,,22
50,58939.34939214866,0.3937007874015748,,22
54,59098.34599078812,0.4566929133858268,,22
57,59194.63283886068,0.5196850393700787,,22
61,59399.72354180852,0.5354330708661418,,22
62,59610.92535586748,0.5433070866141733,,22
45,60587.90381391737,0.4251968503937008,,22
47,60853.69179577677,0.4094488188976378,,22
48,60994.751886479724,0.4094488188976378,,22
50,61187.80744203527,0.4488188976377952,,22
52,61336.02739668381,0.4724409448818897,,22
54,61534.0319318312,0.5039370078740157,,22
55,61682.72240802168,0.5039370078740157,,22
57,61861.32218126431,0.5433070866141733,,23
54,62068.226943169066,0.4803149606299212,,23
50,62212.297237953644,0.3858267716535433,,23
52,62373.90154634367,0.3858267716535433,,23
54,62582.54667106023,0.4330708661417323,,23
55,62707.881138180404,0.4803149606299212,,23
57,62909.700866071566,0.5118110236220472,,23
59,63088.30063931419,0.5354330708661418,,23
60,63245.086353599916,0.5511811023622047,,23
57,63445.50018579946,0.5275590551181102,,23
54,63647.31991369061,0.4881889763779528,,23
55,63779.47977763618,0.4645669291338583,,23
57,63934.85959623029,0.4881889763779528,,23
59,64136.67932412145,0.5039370078740157,,23
60,64292.05914271555,0.5118110236220472,,23
62,64482.51265745478,0.5275590551181102,,23
63,64649.25868920081,0.5669291338582677,,24
62,64857.705401218955,0.5275590551181102,,24
61,64982.705401218955,0.5196850393700787,,24
62,65200.58521981307,0.5196850393700787,,24
62,65433.31764611691,0.5275590551181102,,24
60,65497.0251291101,0.4803149606299212,,24
59,65720.8573286566,0.4330708661417323,,24
60,65876.23714725071,0.4251968503937008,,24
60,65938.7371472507,0.4330708661417323,,24
57,66233.43669373596,0.3858267716535433,,24
54,66435.25642162713,0.3858267716535433,,24
52,66548.88453954094,0.3858267716535433,,24
50,66756.87773681986,0.4015748031496063,,24
45,66872.50131958631,0.3858267716535433,,24
47,67116.07274815772,0.3858267716535433,,24
48,67281.0840860262,0.3937007874015748,,24
38,67437.19519713733,0.4094488188976378,,25
45,67524.20199985841,0.3858267716535433,,25
50,67822.66004974503,0.3858267716535433,,25
54,67996.21447151374,0.3858267716535433,,25
57,68088.4423626702,0.4566929133858268,,25
59,68309.72354180853,0.4960629921259842,,25
60,68485.57388194458,0.5118110236220472,,25
57,68664.17365518722,0.4960629921259842,,25
59,68842.77342842985,0.5118110236220472,,25
55,69021.37320167247,0.4566929133858268,,25
50,69193.70313364526,0.3858267716535433,,25
48,69327.60336040263,0.3858267716535433,,25
47,69532.093156321,0.3937007874015748,,25
43,69712.55233999447,0.3779527559055118,,25
45,69860.65324702393,0.3858267716535433,,25
47,70073.8051744616,0.3858267716535433,,25
38,70248.35165972235,0.4173228346456692,,26
43,70432.86413137768,0.3858267716535433,,26
47,70582.3312515591,0.3858267716535433,,26
50,70737.88680711464,0.3937007874015748,,26
55,70927.76209056134,0.4566929133858268,,26
57,71099.2019998584,0.4960629921259842,,26
59,71273.51038988109,0.5196850393700787,,26
55,71475.33011777225,0.5039370078740157,,26
61,71630.70993636634,0.5433070866141733,,26
58,71804.79723795364,0.5275590551181102,,26
57,71979.6215009922,0.5196850393700787,,26
58,72166.50925609423,0.5196850393700787,,26
58,72275.44916539128,0.5275590551181102,,26
57,72487.39360983574,0.5118110236220472,,26
56,72679.08862117359,0.4881889763779528,,26
57,72860.04100212597,0.4803149606299212,,26
57,73101.1407753686,0.5118110236220472,,27
55,73226.14077536862,0.4330708661417323,,27
54,73401.6736551872,0.3937007874015748,,27
55,73522.58068466568,0.3937007874015748,,27
55,73657.80744203528,0.4015748031496063,,27
52,73906.06707922349,0.3858267716535433,,27
49,74080.68726062938,0.3858267716535433,,27
47,74240.04667106023,0.3858267716535433,,27
45,74410.57388194458,0.3937007874015748,,27
49,74599.31537854322,0.3858267716535433,,27
52,74775.84599078812,0.3858267716535433,,27
55,74954.44576403074,0.3937007874015748,,27
57,75111.97977763618,0.4881889763779528,,27
61,75296.62830371328,0.5196850393700787,,27
62,75467.02512911012,0.5354330708661418,,27
61,75626.29950552735,0.5354330708661418,,27
62,75824.22467559538,0.5590551181102362,,28
57,75979.60449418948,0.4960629921259842,,28
54,76210.27909736408,0.4015748031496063,,28
52,76312.05914271556,0.3858267716535433,,28
54,76553.15891595818,0.4015748031496063,,28
57,76670.78363251146,0.4488188976377952,,28
50,76873.6804579083,0.3937007874015748,,28
54,77051.20313364526,0.3937007874015748,,28
45,77178.37433545932,0.3937007874015748,,28
50,77418.18159169515,0.3858267716535433,,28
49,77587.00245337315,0.3858267716535433,,28
47,77719.16231731873,0.3858267716535433,,28
45,77881.93442616226,0.4015748031496063,,28
43,78096.11809963165,0.3858267716535433,,28
42,78254.96163704662,0.3858267716535433,,28
40,78438.99791822575,0.3858267716535433,,28
38,78585.49451686522,0.4173228346456692,,29
60,78946.1407753686,0.3937007874015748,,29
59,79124.75755541398,0.4409448818897638,,29
57,79303.34032185389,0.4488188976377952,,29
55,79490.8573286566,0.4015748031496063,,29
54,79685.51719260217,0.3858267716535433,,29
52,79805.11469827112,0.3858267716535433,,29
50,80028.39701119628,0.3937007874015748,,29
60,80133.67478897405,0.4960629921259842,,29
59,80351.71900666114,0.5196850393700787,,29
57,80530.31877990376,0.5118110236220472,,29
55,80714.1566483845,0.4960629921259842,,29
54,80881.75302026658,0.4251968503937008,,29
52,81024.73487967701,0.3858267716535433,,29
50,81251.69633092417,0.3858267716535433,,29
48,81330.43782752282,0.4094488188976378,,30
59,81555.4775100625,0.4094488188976378,,30
57,81742.79610416679,0.4645669291338583,,30
55,81917.35392729605,0.4330708661417323,,30
54,82132.11583205797,0.4094488188976378,,30
52,82257.11583205796,0.3937007874015748,,30
50,82455.07501573143,0.3858267716535433,,30
48,82596.13510643438,0.3858267716535433,,30
47,82805.6759227609,0.3937007874015748,,30
57,82961.05574135501,0.3937007874015748,,30
55,83131.17478897405,0.4251968503937008,,30
54,83355.41515178586,0.4488188976377952,,30
52,83463.97524248878,0.4173228346456692,,30
50,83673.93555994912,0.3937007874015748,,30
48,83823.89587740944,0.3858267716535433,,30
47,84017.95483432553,0.3858267716535433,,30
45,84147.03646697859,0.4094488188976378,,31
55,84389.85392729606,0.3937007874015748,,31
54,84578.71447151374,0.4330708661417323,,31
52,84663.47637627565,0.4330708661417323,,31
54,84886.19746471102,0.4803149606299212,,31
57,85034.593156321,0.5118110236220472,,31
50,85264.47410870194,0.4330708661417323,,31
57,85391.79270280625,0.5039370078740157,,31
52,85607.35392729605,0.4566929133858268,,31
57,85755.57388194458,0.4881889763779528,,31
54,85950.23374589016,0.4645669291338583,,31
57,86067.49565065205,0.4960629921259842,,31
55,86284.7915690194,0.5039370078740157,,31
57,86443.65778217133,0.5118110236220472,,31
52,86623.99791822577,0.4488188976377952,,31
57,86797.37093409877,0.4881889763779528,,31
54,87004.99565065207,0.4881889763779528,,32
57,87131.3505259355,0.4803149606299212,,32
50,87368.19292956362,0.3858267716535433,,32
57,87488.55007242077,0.4330708661417323,,32
55,87690.36980031194,0.4488188976377952,,32
57,87845.74961890602,0.4645669291338583,,32
52,88030.73261210331,0.3858267716535433,,32
57,88178.1759227609,0.4566929133858268,,32
54,88420.05233999448,0.4094488188976378,,32
57,88521.83238534593,0.4488188976377952,,32
50,88741.63964158177,0.3858267716535433,,32
57,88870.90834906476,0.4173228346456692,,32
55,89082.59202253415,0.4251968503937008,,32
57,89230.81197718268,0.4645669291338583,,32
52,89416.56027650241,0.3858267716535433,,32
57,89585.30744203528,0.4488188976377952,,32
54,89791.57161437089,0.4330708661417323,,33
57,89913.85619486975,0.4566929133858268,,33
50,90157.67138761349,0.3858267716535433,,33
57,90276.48658035728,0.4251968503937008,,33
52,90451.18612684253,0.3937007874015748,,33
57,90656.90608149105,0.4330708661417323,,33
54,90858.72580938222,0.4015748031496063,,33
57,90945.97637627563,0.4645669291338583,,33
55,91186.31084339581,0.4488188976377952,,33
57,91324.86526516454,0.4645669291338583,,33
57,91480.24508375864,0.4645669291338583,,33
57,91542.74508375864,0.4803149606299212,,33
59,91860.66458489241,0.5039370078740157,,33
57,92039.26435813506,0.4724409448818897,,33
50,92241.08408602621,0.3858267716535433,,33
57,92353.09655768155,0.4015748031496063,,33
57,92505.40381391738,0.4645669291338583,,34
57,92634.04326969967,0.4645669291338583,,34
59,92909.0432696997,0.4881889763779528,,34
57,93087.64304294229,0.4803149606299212,,34
60,93243.58975496046,0.5118110236220472,,34
57,93444.84258942757,0.4724409448818897,,34
50,93646.66231731874,0.3779527559055118,,34
57,93757.90948285161,0.3858267716535433,,34
59,93957.42195450694,0.4566929133858268,,34
57,94136.02172774957,0.4409448818897638,,34
60,94295.4491653913,0.4803149606299212,,34
57,94493.22127423483,0.4488188976377952,,34
62,94671.82104747745,0.5196850393700787,,34
57,94809.76889328245,0.4566929133858268,,34
59,94977.09315632097,0.4645669291338583,,34
57,95175.8686665251,0.4409448818897638,,34
60,95339.78023115093,0.4881889763779528,,35
57,95541.96843976772,0.4094488188976378,,35
59,95696.9797776362,0.4330708661417323,,35
57,95875.57955087881,0.3937007874015748,,35
60,96033.06821301034,0.4724409448818897,,35
57,96232.7790973641,0.4173228346456692,,35
57,96329.5081223074,0.4015748031496063,,35
57,96520.31877990377,0.3937007874015748,,35
59,96745.35846244346,0.4251968503937008,,35
57,96923.95823568608,0.3858267716535433,,35
57,96986.45823568605,0.3937007874015748,,35
57,97048.95823568608,0.3858267716535433,,35
59,97436.53760076546,0.4251968503937008,,35
57,97615.13737400807,0.3937007874015748,,35
55,97793.9072152779,0.3858267716535433,,35
57,97972.33692049334,0.3858267716535433,,35
57,98104.49678443892,0.4173228346456692,,36
57,98240.4775100625,0.3937007874015748,,36
55,98526.10676176318,0.3858267716535433,,36
57,98663.51605881534,0.3858267716535433,,36
57,98749.23601346386,0.4094488188976378,,36
57,98953.22127423483,0.3937007874015748,,36
54,99235.0863535999,0.3858267716535433,,36
57,99319.03760076546,0.3937007874015748,,36
55,99524.45143296497,0.4015748031496063,,36
57,99711.89474362257,0.3937007874015748,,36
54,99920.84599078812,0.3858267716535433,,36
57,100022.6543808108,0.4015748031496063,,36
55,100263.72580938222,0.4015748031496063,,36
57,100403.07388194457,0.4015748031496063,,36
52,100585.09769146837,0.3858267716535433,,36
57,100760.27342842983,0.4015748031496063,,36
54,100962.09315632097,0.4251968503937008,,37
57,101094.25302026658,0.4173228346456692,,37
50,101296.07274815773,0.3858267716535433,,37
52,101451.45256675186,0.3858267716535433,,37
53,101630.05233999445,0.3937007874015748,,37
50,101800.78363251148,0.3858267716535433,,37
54,102001.34485700127,0.3858267716535433,,37
50,102149.56481164982,0.3858267716535433,,37
55,102320.77796357722,0.4015748031496063,,37
50,102500.89134226204,0.3858267716535433,,37
56,102655.21107015321,0.4173228346456692,,37
50,102880.2507526929,0.3779527559055118,,37
57,102995.47184112824,0.4645669291338583,,37
50,103237.45029917813,0.3858267716535433,,37
58,103369.61016312371,0.4803149606299212,,37
50,103571.42989101488,0.3858267716535433,,37
59,103703.58975496046,0.5196850393700787,,38
50,103928.62943750013,0.3937007874015748,,38
60,104035.40381391738,0.5039370078740157,,38
50,104276.50358716,0.4094488188976378,,38
61,104394.76889328245,0.5275590551181102,,38
50,104616.83238534593,0.4015748031496063,,38
62,104798.40834906476,0.5275590551181102,,38
50,104860.90834906473,0.3937007874015748,,38
63,105109.16798625296,0.5354330708661418,,38
50,105334.20766879266,0.3937007874015748,,38
64,105443.14757808972,0.5118110236220472,,38
50,105671.24281618495,0.3858267716535433,,38
65,105773.02286153642,0.5275590551181102,,38
50,106037.34258942757,0.3858267716535433,,38
66,106157.54667106022,0.5196850393700787,,38
50,106324.3267164117,0.3858267716535433,,38
67,106458.78249872461,0.5433070866141733,,39
59,106693.34599078812,0.4803149606299212,,39
50,106870.69859849785,0.3858267716535433,,39
59,107027.32558262485,0.3937007874015748,,39
67,107167.76209056136,0.5354330708661418,,39
59,107386.75868920081,0.4881889763779528,,39
67,107533.86186380399,0.5354330708661418,,39
59,107741.72467559537,0.4803149606299212,,39
67,107897.10449418945,0.5433070866141733,,39
59,108054.19066198994,0.4566929133858268,,39
50,108277.52399532325,0.3858267716535433,,39
59,108414.28136493778,0.3858267716535433,,39
67,108583.15891595819,0.5196850393700787,,39
59,108790.10336040263,0.4488188976377952,,39
67,108911.71900666114,0.5196850393700787,,39
59,109119.9729749151,0.4409448818897638,,39
67,109271.48091142306,0.5433070866141733,,40
57,109504.50245337315,0.3937007874015748,,40
50,109660.8006393142,0.3858267716535433,,40
57,109796.53760076546,0.3858267716535433,,40
67,109993.86186380402,0.4724409448818897,,40
57,110177.77909736405,0.3858267716535433,,40
67,110318.83918806704,0.5039370078740157,,40
57,110541.22014044797,0.3858267716535433,,40
